IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;80;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['saldējumam sauce and milk chocolai', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes ž sausās siera sūkalas', 'saldais krējums', 'emulgators cream', 'milk', 'sugar', 'butter', 'taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'paar sveķi', 'karagināns', 'sausais mono and dr iaake of fatty acida vaka dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao masa', 'skimmed mil powder', 'natural flpilnpiena pulveris', 'piena tauki', 'emulgaiai', 'sojas lecitīni', 'e476', 'dabīgs aromaiee jāj', 'sastāvdaļas butter', 'cocoa mass', 'whole milk poaveņu', 'granātābolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrats favouring', 'raspberry', 'pomegranate', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'bieznātāj', 'ksantāna sveķi', 'baltās pomegranate juice concentrate', 'akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'thickener', 'xanthan gum', "locust be' cukurs", 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni', 'var', 'coconut', 'rapeseed', 'sugar', 'fat reduzemesriekstu', 'riekstu', 'olu daļiņas', 'uzglabāšanas ritot ne rate kā', '18” c', 'ražošanas datums of guren', 'peanut', 'nuts and e99un izlietot līdz', 'skatīt uz iepakojuma sāna', 'ražotājs', 'as „ īgas piena kombināts” bauskas iela 180', 'rīga', 'and best before date', 'see on 1hlv', '1004', 'latvija', 'bezmaksas tālrunis atsauksmēm', '+371 80001110', 'kombināts”', 'bauskas street 180', 'ri4 j bd fm ds'];8;8;['sausās siera sūkalas', 'sausais vājpiens', 'pilnpiena pulveris'];['piens', 'sviests', 'glikozes ž sausās siera sūkalas', 'saldais krējums', 'sastāvdaļas piena šokolādei', 'piena tauki', 'olu daļiņas', 'as „ īgas piena kombināts” bauskas iela 180'];5;3;3;['piens', 'sviests', 'saldais krējums', 'sastāvdaļas piena šokolādei', 'piena tauki'];['sausās siera sūkalas', 'sausais vājpiens', 'pilnpiena pulveris'];['glikozes ž sausās siera sūkalas', 'olu daļiņas', 'as „ īgas piena kombināts” bauskas iela 180']
n2;45;45;56;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];['rudzu saiti', 'kl', 'margarīns', 'augu eļļas', 'palmu rsp0 86 rapšu', 'informācija par uzturvērtību', '| 100 g produkta satuiūdens', 'gārtikas sēls', 'emulgatori', 'e322 rapšu', 'e41', 'skābuma regulēlējs e330', 'sviesta', "kas mam a s ts jogas a eā kat'āromatizētājs", 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu smilti miežu iesēla', 'enerģētiskā vērtība 1 usa aekstrakts', 'ii', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābumā', 'rēgutētājs? e390  tauki', 'tostarp', 'ņ 2309 f=>', 'aromatiratājs', 'garšvielas', 'kanēlis', 'krustnagijas', 'muskatrieksts', 'smaržīgie pipari', 'verttati gain"', 'loījandts', 'inovers', 'melnie pipari kardarmans', 'sausais melsjums', 'sojas ml kviešu | piesātinātās taukskābes — | 1 tva2 š viete', 'ārdinātāji', '£500', 'e450', 'sūkalu pulveris', 'dekstoze', 'kvieši kūķirūza', 'sāls > ogļhidrāti', 'tostarp', 'er tkeitkā ui era ei i t c"2771 var saturētolu', 'zemesriekstu', 'riekstu', 'sulfītu', 'st ialijas', 's', 'm rata vaka si naks a a amia ta o eeekeiik', '590', 'ftotājiem ss ietdu sanes rtu riti s isam em truozum'];3;5;['sviesta aromatizētājs'];['sviesta', 'karotīns', 'sūkalu pulveris', '| 100 g produkta satuiūdens', 'e41'];2;1;3;['sviesta', 'sūkalu pulveris'];['sviesta aromatizētājs'];['karotīns', '| 100 g produkta satuiūdens', 'e41']
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];[];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;28;28;63;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vajpiena piem o7 es adalami', 'sktadnīki', 'sīrups', 'glikozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa"', 'emulgatori', 'e471', 'eau še osie mleko w proszku', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', "dadīgi vaakakaowa'", "emulgatory vaniļas aromatizētājs'", 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni', 'var', 'nesalī magn', 'naturedinyaromat ipeki', '"rainforest alliance sertificēts', 'ra', 'org', 'uzglabāf temperatūrā ne augstākā par', '18 "c', 'deleia sie ve u ājvenom', 'vetjowane beigām', 'skat', 'uz iepakojuma', 'kā jāātis madagaskarilt pārit vaniljega', 'kaetud pilmašokošāa', '28t ma j> ieļenie spēt jzed manditega', 'koostsosed', 'ieastatud loss', 'sunkur', "kakaorasv'", 'kookosrasv', 'mandlid', 'te', 'ulbē mr m aiem saieta ikonu', 'dilkaasimuktaosisīrus nonoli', 'vdekuņuloer', 'pim', 'kakaom rrn ppāū pieno sikeīgi maa autoru', 'guarkummi', 'karmageen aa glieenis maita pimaga', 'pn s7 u feni "waba', 'rrr nianee m aāā ku iii', 'm 2', "en4 i ma ū — — k ' og 9"];6;12;['vājpiena pulveris'];['atjaunots vājpiens', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'vajpiena piem o7 es adalami', 'e471', 'ar pienu', 'ar pienu', 'karotīni', 'ieastatud loss', 'kakaom rrn ppāū pieno sikeīgi maa autoru', 'kakaom rrn ppāū pieno sikeīgi maa autoru'];5;1;7;['atjaunots vājpiens', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];['vājpiena pulveris'];['vajpiena piem o7 es adalami', 'e471', 'ar pienu', 'karotīni', 'ieastatud loss', 'kakaom rrn ppāū pieno sikeīgi maa autoru', 'kakaom rrn ppāū pieno sikeīgi maa autoru']
n5;35;35;83;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti wekokosrieksti', 'kokosriekstu piena pulveris', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētaisvājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija vwkarbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no veides emulgatori', 'sojas iecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena', 'var', 'zemesriekstus', 'mandeles', 'lazdu riekstus', 'uzturvērtība 100 g', 'enerģētiskā vērtība 1124 kj/ 269 kcal', 'tauki 16 g', 'tostarp piesātinātās taukskābes 11 g', 'ogļhidrāti 27 g', 'tostarp cukuri 23 g', 'olbaltumvielas 3', '1 g', 'sāls 0', '12 la uzglabāt temperatūrā', '186 pēc atlaidināšanas atkārtoti nesasaldēt', 'ieteicams līdz derīguma termiņa beigām', 'skatīt uz iepakojuma', 'mars latvia sia', 'sporta iela 11', 'lv', '1013 rīga =80002005', 'informoeffem', 'com', 'ee kookospāhkli', 'piimajāātis  kakaoglasuuriga', 'millele on tipitud kookospāhkligakrēbedad kūpsised', 'koostisosad', 'lēss', 'suhkur', 'koor ot', 'glūkoosisiirup', 'vesi', 'kookospāhkel', 'kulivatatud kookospāhkel', 'ākookospimapulber', 'kkakaovēi', 'kookosrasv', 'kakaomass', '| ēssipu palmirasv', 'magustatud kondenslēss', 'kookospānkilga kupslsea 1', '060 āum', 'kookosnelved', 'nisutārklis', 'nisujahu', 'piimavalk', 'kergitusaine', 'naatriumkarbonaadid', 'pi s te', '— " ls'];12;18;['saldināts kondensētais vājpiens', 'no piena'];['vājpiens', 'krējums', 'no piena', 'kokosriekstu piena pulveris', 'vājpiena pulveris', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'nātrija kazeināts', 'no piena', 'e471', 'uzturvērtība 100 g', 'tauki 16 g', 'tostarp piesātinātās taukskābes 11 g', 'ogļhidrāti 27 g', 'tostarp cukuri 23 g', '1 g'];10;2;8;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'nātrija kazeināts', 'no piena'];['saldināts kondensētais vājpiens', 'no piena'];['kokosriekstu piena pulveris', 'e471', 'uzturvērtība 100 g', 'tauki 16 g', 'tostarp piesātinātās taukskābes 11 g', 'ogļhidrāti 27 g', 'tostarp cukuri 23 g', '1 g']
n6;44;44;107;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['ni”', 'i 3 | sokolādes konfektes apvieno garšas', 'kas pilnas', 'š n a 19 maiguma un reibinošas laimes sajūtas', '| au vi sokolāde ir dabisks laimes avots', 'dāvājiet to sev j', 'kas un saviem mīļajiem! j', 'sastāvdaļas', 'tumšā šokolāde', 'kakao masa', 'cukurs', 'emulgators', 'sojas lecitīns', 'dabīgs', 'k', 'vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais', 'krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'vājpiena', 'pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', "'", 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra', 'dioksīds', 'kaltētas dzērvenes', 'enerģētiskā vērtība', '2104 k', '/ 504 kcal', '100 g produkta satur', 'taukus 33 g', 'tostarp piesātinātās taukskābes', 'ēļ', '20 g', 'ogļhidrātus 44 g', 'tostarp cukuri 37 g', 'olbaltumvielas 4', '8 g', 'sāli 0', '21 g', 'ai', 'ieteicamā uzglabāšanas temperatūra', '+15 ”c līdz +20 ?c', 'pēc atvēršanas izlietot 10 dienu laikā', 'produkta', 'oj gatavošana notiek vidē', 'kur var atrasties zemesriekstu', 'lazdu riekstu', 'valriekstu', 'mandeļu', 'pistāciju', 'sezama 4sēklu', 'olu', 'piena', 'sojas', 'kviešu un rudzu miltu daļiņas', 'tneto daudzums', 'n x produkts ražots', 'sia „lāči”', '„benūžu', 'skauģi”', 'babītes1 08 di', '0', 'o pagasts', 'mārupes novads', 'lv', '2107', 'latvija', 'g tālr', '+37166047551', 'e', 'pasts', 'infoolaci', 'lv', 'www', 'laci', 'lvj ieteicams līdz', 'aa s 417522361001011'];8;19;['saldais krējums', 'vājpiena pulveris'];['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'krējums', 'vājpiena', 'sūkalu pulveris', 'piena tauki', 'olu', 'piena', 'e471', '100 g produkta satur', 'taukus 33 g', '20 g', 'ogļhidrātus 44 g', 'tostarp cukuri 37 g', '8 g', '21 g', 'g tālr'];6;2;13;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'sūkalu pulveris', 'piena tauki'];['saldais krējums', 'vājpiena pulveris'];['krējums', 'vājpiena', 'olu', 'piena', 'e471', '100 g produkta satur', 'taukus 33 g', '20 g', 'ogļhidrātus 44 g', 'tostarp cukuri 37 g', '8 g', '21 g', 'g tālr']
n7;25;25;59;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'atuv ass =|! kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valstsšķiedrvieļas', 'āromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'iņ biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dēlsstroze', 'cukurs', 'garšvielu ekstrakti', 'olu', 'm', "a'", '100g produkta vidēji satur', 'enerģētiskā vērtība 940 0 / 225 kcal', 'tauki 13 g', 'tostarp piesātinātās taukskābes 3', '3 g', 'ogļhidrāti 13 g tostarpcukuri 1', '79', 'ta ha$ ļ olbaltumvielas 14g', 'sāls 1', '5 g', 'uzglabāšanas temperatūra', '+2', '+67c', 'a |9 iz', '4produktā iespējama šādu alergēnu klātbūtne', 'soja', '00 ļ „', 'kbe', 'sinepes', 'selerijas un auzas', 'produkts cepts rapšu eļļā', 'mēsļ iepakots aizsargatmosfērā', 'pēciepakojuma atvēršanas 300 šu|8 izlietot 48h laikā', 'ražots igaunijā', 'om "iēn i otnt līdz', 'izplatītājs', 'as "hkscan latvia"', 'atlasa iela 7', 'mi s |se a', 'y =īrini ām', 'jo 30 les'];5;12;[];['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris', 'olu', 'e331', 'tauki 13 g', '3 g', 'ogļhidrāti 13 g tostarpcukuri 1', '5 g'];5;0;7;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'sviesta pulveris'];[];['krējums', 'olu', 'e331', 'tauki 13 g', '3 g', 'ogļhidrāti 13 g tostarpcukuri 1', '5 g']
n8;37;37;39;['makaroni bez olām', 'kviešu milti', 'palmu eļļa', 'sāls', 'cukurs', 'skābuma regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinātājs guāra sveķi', 'garšvielas', 'sāls', 'aromāta un garšas pastiprinātāji', 'mononātrija glutamāts', "dinātrija5'", 'ribonukleotīdi', 'kaltēti dārzeņi', 'sīpoli', 'burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', 'cukurs', 'garšvielu maisījums', 'karijs', 'kumīns', 'koriandrs', 'melnie pipari', 'alpinia galanga', 'ingvers', 'pētersīļi', 'kurkuma', 'melnie pipari', 'asie pipari', 'aromatizētājs', 'satur olas', 'rauga ekstrakts', 'saulespuķu eļļa'];['makaroni', 'bež "0ā1 noā35', 'mmedžiagos', 'kviešu milti', 'palmu eļļa', 'sāls', 'cikūrs', 'skālu va |puiķeniu u regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinā ā ana |m0 stprikliai', 'guāra sveķi', 'garšvielas', 'sāls', 'aromāta un māls pnbonukleotidai', '” pastiprinātāji', 'mononātrija ar am apastamokai', "dinātrijas'", 'ribonukleotīdi', 'kaltēti dārzeņi', 'i kam prlmišimys', 'karis burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', 'meli nva asios alpinijos', 'garšvielu maisījums', 'karijs', 'kumīns', 'koriandts a„as a', 'bija j ētersīļli', 'kurkumē |5 ipipirai', 'aitrieji pipari', 'alpinia galanga', 'mieliuy mene renāri', 'asie pipari', '/ aromatiz sa nr |rauga ekstr a avies', 'nat sam strakts', 'saulespuķu el „n dļa ļ'];1;0;['satur olas'];[];0;1;0;[];['satur olas'];[]
n9;22;22;168;['cukurs', 'kviešu milti', 'augu tauki', 'palmu', 'basijas', 'šokolādes skaidiņas', 'cukurs', 'kakao masa', 'kakao sviests', 'sausais piens', 'piena tauki', 'aromatizētājs', 'sausās sūkalas', 'sviests', 'piens', 'kakao pulveris ar samazinātu tauku saturu', 'olu pulveris', 'ciete', 'emulgators saulespuķu lecitīni', 'irdinātājs nātrija hidrogēnkarbonāts', 'sāls', 'aromatizētājs'];['i', 'we ie v ša a dl a 4 me ” gm n az1', '/4 gb šokolādes vafeļu tortēaršokolādes skaidiņām trifele', 'sastāvdaļas»cdkurs', 'kviešu milti', 'augu tauki', 'palmu', 'basijas', 'šokolādes skaidiņas', 'cukurs', 'kakao masa', 'sausais piens', 'piena tauki', 'aromatīzēfājs', 'sausās sūkalas', 'sviestsā s', 'piens', 'kakao pulvesis ar samazinātu īāūtkrsaturu', 'olu pulveris ciete', 'ēmulgators saulespuķu iecitīni', 'irdinātājs nātrija hidrogēnkarbonāts', 'sāls', 'aromatizētājs', 'var', 'uzglabāt sausā vietā', '183', 'c temperatūrā', '€', 'hoaolatewafer cake withdiocolate flakes trīfele', 'ingredients', 'suga wheat flour', 'vegetablefat', 'palm', 'shea', 'dhocolate flakes', 'sugar', 'cocoa mass', 'cocoa butteņ whole milkpowder', 'butter fat', 'favouring', 'whey powder', 'butter', 'milk', 'low fatcocoa "8| bs powder egaponder', 'stardi', 'emulsie sunflowerlecithins', 'raisīīīg agent sodiumlīydrogen carbonate', 'salt', 'flavouring', 'may contain traces ofnuts and peanuts', 'keep dry', '18+3', '”c', 'cb dauerbackware mit sdhokoladenstidkchen trīfele', 'zutaten', 'zudkers  weizenmehl', 'pflanzenfett', 'palm', 'shea', 'shhokoladenstūckchen', 'zucker', 'kakaomasse', '|kelanbutter', 'volmildipulvesgedkildrfett', 'aroma', 'molķepulver', 'butter', 'mildi', 'us neem fettames kakaopulver', 'vollēibēšēj starke', 'emulgator sonnenblūmenlecīthine', 'en', 'īrocken lagem', '183', 'jladinis vaflinis tortas su', 'n ainlaio galus te', 'aeitamaia dēj cins lietai rita augina «ill a mt par 5001', '—', '+yvpalmi', 'sviestmedžiņ', 'šokoladīniy gribsniai 1 s kas ms', '| serving size/portion pieces g pieciakobuis sektas', 'obje piena inline piena ioboku koalas metams', 'vesa >', 'hmmmūtelai', 'sviestas', 'piemas', 'lies kakavos mūltelai', 'klaušiniu mitelai kakmoas es | amount per serving/guantitē par portionitt ēra cali / c š par pibūti riešutu ir zemes riešutu pēdsaku', 'laikyti sausoje vietoje', '18', '3', '” ctemperatūroje', 'a ories a ories 260= bavmlaatīkastutega vali koostisosad', 'suhkur', 'nisujahu', 'taimsed rasvad', 'm m me odo odo', 'palm', 'shea', 'šokolaadilaastud', 'suhkur', 'kakaomass', 'kakaovēāj', 'pilmapulber', 'oma', 'no as spāmarasī', 'tēra', 'ja maisezine', 'vadakupulbes', 'vēllgiim', 'vahendatudrasaskakdusega j a da value vēlei guotiākem makakaopulber', 'rem dei emulgaator atremas ķergituaine | total fat/lipides total 15g naatriumvesinikkarbonaat', 'sool', 'lūhna', 'ja maitseaine', "vēib sisaldada vāhesel māāral pāhklit 2 ' 0īo maapālkdīt sato uāraskahas iempenturi", '1813 ctunstaja eto ones |— tm ated fat/saturēs8g ams', 'pērguvālja tee 6', 'lehmja', 'rae vald', '75306', 'harjumaa', 'eesti', 'www', 'orkla', 'ee trans fat/trans 0giokonaghbiii baģerbkbili topt < wokonaghbinm wonbanm īprģene', '00a', '| cholesterol/cholestērol <5mg caxap', 'muiekmukas myka', 'pacrmtējbhbili xmp', 'nanibmobbiā', 'lv', 'luokonajhblē xnonba |l————————————', 'cavap', 'kakao tepīoe', 'kakao mac1o', 'cgxoe lieibhoe monoko', 'monouhbili xp', '| $odium/sodium 45mg', 'apomamsarop', 'gan colbopotka', 'cimbohhoe macto', 'mon0ko', 'kakao nopollok c |total carbohydrate/glucides 28g i', 'nohvokekhbim copepkahvem xvpa', 'amuhbiīi mopoliok', 'kpakmaji', '3maibratop | ———————————— m| reemmegitasm pazpeinimteib i saja cojlb', 'apomatm3atop', 'dietary fiber/fibres 2g', 'bmomho cohepkahme uuacrmu', 'opexob v apaxmca', 'xpakhmtb b com mecte', 'npū 2 l', 'temnepamype', '1843', 'c', 'cpejuune 3hauekua mmuļegoji lehhocm', '8', '100r oma mā ma aba mieprenrēcam uc = 2139 īn s1 an', 'ger "52 k apbi— 297', 'ymegojbi = includes 12g added sugars/comprend 12g de sucres ajoutēs sa t', '1 nopuma 501 npojņkta copiepikvt', '3hepremmueckaa lehhoct6 = 1070 k', 'x/ 256 kkal |p 1 i d', 'š', 'i er i a i a i iii i i i ii ia a o'];6;13;['sviests', 'olu pulveris'];['sausais piens', 'piena tauki', 'sausās sūkalas', 'piens', 'olu pulveris ciete', 'obje piena inline piena ioboku koalas metams', 'we ie v ša a dl a 4 me ” gm n az1', '/4 gb šokolādes vafeļu tortēaršokolādes skaidiņām trifele', 'sviestsā s', '| serving size/portion pieces g pieciakobuis sektas', 'vesa >', 'sviestas', 'vahendatudrasaskakdusega j a da value vēlei guotiākem makakaopulber'];4;2;9;['sausais piens', 'piena tauki', 'sausās sūkalas', 'piens'];['sviests', 'olu pulveris'];['olu pulveris ciete', 'obje piena inline piena ioboku koalas metams', 'we ie v ša a dl a 4 me ” gm n az1', '/4 gb šokolādes vafeļu tortēaršokolādes skaidiņām trifele', 'sviestsā s', '| serving size/portion pieces g pieciakobuis sektas', 'vesa >', 'sviestas', 'vahendatudrasaskakdusega j a da value vēlei guotiākem makakaopulber']
n10;15;15;8;['piens', 'karameļu piedeva', 'cukurs', 'ūdens', 'dedzināta cukura sīrups', 'dabīgs aromatizētājs', 'karamele', 'biezinātāji', 'guāra sveķi', 'karagināns', 'vitamīni a', 'b6', 'b12', 'd', 'folijskābe'];['piens', 'karameju piedēva', 'cukurs los m odi a a a a a a n u a kara sin a n s a tan a ra =', 'me ir s aa sa ea ss so aa aa ata m n a s ea sr per ri 2 stš heājs iet ižis his jets ne mi zi as hathhi', 'vie meitu', 'sekssrripirtā hacs', "pbadid safirs sao a se neša pie r a t t an ik ss tratu sana s pat um s ska uz epa iuma uzglabāšana sž rr at aa n a rt a st r rhr sie up a o d us k kara me a na ja mai seanssāā š 4 īpa | ā 8'", '| šā šā dā ēi 9a wa j +'];1;2;[];['piens', "pbadid safirs sao a se neša pie r a t t an ik ss tratu sana s pat um s ska uz epa iuma uzglabāšana sž rr at aa n a rt a st r rhr sie up a o d us k kara me a na ja mai seanssāā š 4 īpa | ā 8'"];1;0;1;['piens'];[];["pbadid safirs sao a se neša pie r a t t an ik ss tratu sana s pat um s ska uz epa iuma uzglabāšana sž rr at aa n a rt a st r rhr sie up a o d us k kara me a na ja mai seanssāā š 4 īpa | ā 8'"]
